fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
939,"2523",Umformer,,,"1",,,,,,,,,,"11000004044240096","4200",Aus Katasterkarten digitalisiert,"04424",Tegeler Weg,,"96",,AX_Gebaeude,DEBE04YY500002uy,,,,,,,,,,,,,,,
940,,,"1400",Aufgeständert,"6",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500002HI,,,,,,,,,,,,,,,
941,"2571",Gaswerk,,,"1",,,,,,,,,,"11000004014840005","4200",Aus Katasterkarten digitalisiert,"01484",Gaußstraße,,"5","1",AX_Gebaeude,DEBE04YY50000FEZ,2072,UUID_d4dce4ef-a04e-499b-9283-ce97bbca0153,,,,,2024/02/05 04:16:20.616,,,,2024/02/05 04:16:20.616,citydb_user,,,2057
942,,,,,"6",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY1RC00047,,,,,,,,,,,,,,,
943,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004006530011","4200",Aus Katasterkarten digitalisiert,"00653",Bonhoefferufer 11,"11",,,AX_Gebaeude,DEBE04YY50000Rfo,1647,UUID_4612e7a9-0d89-48e8-9211-62ff802b1486,,,,,2024/02/05 04:16:19.901,,,,2024/02/05 04:16:19.901,citydb_user,,,1641
944,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15N0009r,,,,,,,,,,,,,,,
945,"2071","Hotel, Motel, Pension",,,"6",,,,,,,,,,"11000004035710044","4200",Aus Katasterkarten digitalisiert,"03571, 04202","Quedlinburger Straße 44, 46, 48; Sömmeringstraße 24",,,,AX_Gebaeude,DEBE04YY500003kD,,,,,,,,,,,,,,,
946,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004030740012","4200",Aus Katasterkarten digitalisiert,"03074",Mierendorffstraße 12,"12",,,AX_Gebaeude,DEBE04YY500005a4,242,UUID_95c0f4b4-dc27-481c-880e-8f0873c59a71,,,,,2024/02/05 04:16:16.973,,,,2024/02/05 04:16:16.973,citydb_user,,,237
947,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YPh,996,UUID_37ac61f5-e39f-429c-bc0c-e0186cd07201,,,,,2024/02/05 04:16:18.342,,,,2024/02/05 04:16:18.342,citydb_user,,,967
948,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Yii,,,,,,,,,,,,,,,
949,"2521",Elektrizitätswerk,,,"7",,,,,,,,,,"11000004002520005","4200",Aus Katasterkarten digitalisiert,"00252",Am Spreebord,,"5","9",AX_Gebaeude,DEBE04YY50000PJ1,880,UUID_011d81bc-03c6-4ae2-ae82-c424fb29b316,,,,,2024/02/05 04:16:18.217,,,,2024/02/05 04:16:18.217,citydb_user,,,861
950,"1010",Wohnhaus,,,"3",,,,,,"1200",Freistehender Gebäudeblock,,,"11000004021430030","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße 30,"30",,,AX_Gebaeude,DEBE04YY50000Ffk,1580,UUID_b59768f0-84d4-4eca-bc37-1173787636db,,,,,2024/02/05 04:16:19.817,,,,2024/02/05 04:16:19.817,citydb_user,,,1547
951,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000I6R,1958,UUID_11865357-0e92-405c-849b-625404ebd5bb,,,,,2024/02/05 04:16:20.338,,,,2024/02/05 04:16:20.338,citydb_user,,,1933
952,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Pl0,,,,,,,,,,,,,,,
953,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000JSD,,,,,,,,,,,,,,,
954,,,,,,,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Y7v,,,,,,,,,,,,,,,
