gml_building_function,gml_id,teaser_id,building_function_alkis,alkis_code
,,,Gebäude für Sport (allgemein),2818
,,,Hallenbad,2821
,,,Gebäude der Freibadanlage,2822
,,,Badegebäude (allgemein),2828
,,,Tribüne,2831
,,,Badegebäude für medizinische Zwecke,2841
,,,Sanatorium,2842
,,,Kurgebäude (allgemein),2848
,,,Campingplatzgebäude,2851
,,,Ferienhaus,2861
,,,Wochenendhaus,2862
,,,Gartenhaus,2863
,,,Freizeithaus (allgemein),2868
,,,Empfangsgebäude,2871
,,,"Aquarium, Terrarium",2872
,,,Tierschauhaus,2873
,,,Stall,2874
,,,Gebäude für Zoologie (allgemein),2878
,,,Empfangsgebäude,2881
,,,Gewächshaus,2882
,,,Pflanzenschauhaus,2883
,,,Gebäude für Botanik (allgemein),2888
,,,Aussichtsturm,2891
,,,Schutzhütte,2894
,,,Ungenutztes Gebäude,2921
