geometry,index_right,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"POLYGON ((384807.828 5820563.123, 384811.205 5820567.274, 384825.804 5820555.405, 384823.984 5820549.705, 384815.309 5820556.9, 384809.748 5820561.506, 384807.828 5820563.123))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384810.732 5820484.425, 384810.406 5820480.893, 384809.752 5820473.8, 384791.295 5820475.572, 384792.049 5820482.811, 384792.433 5820486.497, 384794.835 5820486.225, 384810.732 5820484.425))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384818.718 5820584.61, 384817.599 5820584.711, 384816.475 5820584.702, 384815.358 5820584.582, 384814.258 5820584.353, 384813.186 5820584.016, 384812.153 5820583.576, 384811.167 5820583.036, 384810.24 5820582.401, 384809.38 5820581.678, 384808.595 5820580.874, 384807.893 5820579.997, 384799.637 5820569.734, 384791.559 5820576.181, 384800.5 5820587.03, 384801.755 5820588.24, 384803.092 5820589.36, 384804.503 5820590.384, 384805.983 5820591.306, 384807.523 5820592.124, 384809.116 5820592.832, 384810.755 5820593.427, 384812.431 5820593.907, 384814.137 5820594.269, 384815.864 5820594.511, 384817.603 5820594.632, 384819.347 5820594.631, 384837.995 5820593.774, 384835.668 5820586.58, 384834.696 5820583.838, 384818.718 5820584.61))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((385005.869 5820723.97, 385008.234 5820723.939, 385011.772 5820723.894, 385011.342 5820713.772, 385011.693 5820713.688, 385011.53 5820709.107, 385007.609 5820709.25, 385005.26 5820709.335, 385005.287 5820709.99, 385005.869 5820723.97))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((385047.743 5820553.935, 385047.708 5820553.044, 385047.94 5820544.878, 385049.011 5820544.928, 385051.129 5820483.95, 385051.08 5820483.009, 385047.315 5820482.056, 385047.657 5820475.375, 385046.828 5820475.35, 385045.999 5820475.326, 385045.174 5820475.375, 385045.125 5820476.171, 385044.955 5820479.49, 384951.554 5820476.511, 384951.678 5820472.402, 384951.053 5820472.383, 384950.291 5820472.359, 384949.625 5820472.34, 384949.425 5820478.933, 384949.405 5820479.616, 384949.331 5820480.751, 384947.115 5820549.663, 384947.068 5820550.873, 384947.037 5820551.592, 384946.855 5820555.717, 384947.555 5820555.747, 384948.273 5820555.778, 384948.993 5820555.81, 384949.081 5820553.804, 385044.75 5820556.724, 385044.669 5820558.766, 385045.389 5820558.794, 385046.107 5820558.822, 385046.827 5820558.852, 385047.546 5820558.88, 385047.743 5820553.935))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384970.905 5820616.035, 384970.595 5820610.726, 384967.309 5820610.971, 384967.527 5820616.182, 384970.905 5820616.035))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384835.766 5820570.653, 384835.677 5820569.227, 384830.951 5820569.335, 384831.05 5820570.736, 384835.766 5820570.653))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((384838.95 5820586.522, 384838.657 5820574.195, 384831.842 5820574.39, 384835.668 5820586.58, 384838.95 5820586.522))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
"POLYGON ((385521.569 5820954.641, 385522.177 5820964.108, 385537.755 5820963.169, 385542.283 5820953.384, 385521.569 5820954.641))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385549.7 5820952.883, 385545.224 5820963.235, 385553.922 5820962.672, 385558.398 5820952.32, 385549.7 5820952.883))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385427.043 5820908.361, 385426.668 5820903.028, 385416.352 5820903.664, 385416.661 5820908.984, 385427.043 5820908.361))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385463.66 5820960.048, 385463.603 5820957.585, 385459.553 5820957.667, 385459.603 5820960.142, 385463.66 5820960.048))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385198.753 5820953.925, 385198.755 5820952.001, 385191.26 5820952.065, 385191.235 5820949.546, 385186.23 5820949.587, 385186.29 5820955.806, 385191.478 5820955.721, 385191.346 5820953.993, 385198.753 5820953.925))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385444.219 5821154.837, 385443.719 5821152.976, 385451.77 5821150.815, 385450.235 5821145.095, 385429.689 5821150.61, 385431.225 5821156.329, 385436.715 5821154.856, 385437.215 5821156.717, 385444.219 5821154.837))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385270.236 5820950.874, 385270.197 5820947.149, 385270.167 5820944.246, 385268.869 5820944.261, 385256.464 5820944.415, 385256.498 5820947.295, 385256.542 5820950.998, 385268.948 5820950.886, 385270.236 5820950.874))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385447.892 5820989.233, 385447.976 5820989.826, 385448.171 5820990.392, 385448.469 5820990.911, 385448.86 5820991.364, 385449.33 5820991.736, 385449.861 5820992.011, 385450.435 5820992.181, 385451.031 5820992.239, 385451.627 5820992.184, 385452.202 5820992.016, 385452.735 5820991.743, 385453.206 5820991.374, 385453.599 5820990.922, 385453.9 5820990.405, 385454.097 5820989.839, 385454.183 5820989.247, 385454.156 5820988.649, 385454.016 5820988.067, 385453.769 5820987.522, 385453.422 5820987.034, 385452.99 5820986.62, 385452.487 5820986.295, 385451.932 5820986.071, 385451.344 5820985.956, 385450.745 5820985.955, 385450.157 5820986.067, 385449.601 5820986.288, 385449.096 5820986.61, 385448.662 5820987.022, 385448.314 5820987.509, 385448.064 5820988.053, 385447.922 5820988.635, 385447.892 5820989.233))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385578.676 5821068.452, 385576.86 5821078.656, 385599.539 5821082.946, 385601.428 5821072.608, 385595.602 5821071.544, 385595.648 5821071.292, 385587.753 5821069.85, 385587.708 5821070.102, 385578.676 5821068.452))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385381.863 5820905.791, 385380.506 5820905.876, 385381.251 5820916.657, 385382.219 5820916.598, 385383.967 5820916.495, 385395.334 5820915.819, 385407.299 5820915.101, 385416.988 5820914.522, 385416.661 5820908.984, 385416.352 5820903.664, 385413.946 5820903.813, 385412.876 5820903.877, 385410.427 5820904.03, 385394.668 5820905.001, 385381.863 5820905.791))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385381.654 5820886.058, 385413.776 5820886.646, 385413.647 5820873.502, 385381.524 5820873.853, 385381.654 5820886.058))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
"POLYGON ((385383.081 5821103.291, 385379.006 5821104.503, 385379.838 5821107.298, 385383.912 5821106.086, 385383.081 5821103.291))",5,019742,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,183565.9375,2005/02/18 00:00:00.000
